proj ID,lake ID,site,trap ID ,deploy ID,date set ,time set ,date retrieved,time retrieved,comments
15,WL,DeepHole,1,1,5/20/2015,9:15,6/11/2015,10:00,
15,WL,DeepHole,2,1,5/20/2015,9:15,6/11/2015,10:00,
15,WL,DeepHole,3a,1,5/20/2015,9:15,6/11/2015,10:00,
15,WL,DeepHole,3b,1,5/20/2015,9:15,6/11/2015,10:00,
15,EL,DeepHole,1,1,5/20/2015,10:45,6/11/2015,10:15,
15,EL,DeepHole,2,1,5/20/2015,10:45,6/11/2015,10:15,
15,EL,DeepHole,3a,1,5/20/2015,10:45,6/11/2015,10:15,
15,EL,DeepHole,3b,1,5/20/2015,10:45,6/11/2015,10:15,
15,HB,DeepHole,1,1,5/21/2015,10:30,6/11/2015,10:45,
15,HB,DeepHole,2,1,5/21/2015,10:30,6/11/2015,10:45,
15,HB,DeepHole,3a,1,5/21/2015,10:30,6/11/2015,10:45,
15,HB,DeepHole,3b,1,5/21/2015,10:30,6/11/2015,10:45,
15,CR,DeepHole,1,1,5/21/2015,12:35,6/11/2015,9:00:00,
15,CR,DeepHole,2,1,5/21/2015,12:35,6/11/2015,9:00:00,
15,CR,DeepHole,3a,1,5/21/2015,12:35,6/11/2015,9:00:00,
15,CR,DeepHole,3b,1,5/21/2015,12:35,6/11/2015,9:00:00,
15,MO,DeepHole,1,1,5/22/2015,9:00,6/11/2015,11:15,
15,MO,DeepHole,2,1,5/22/2015,9:00,6/11/2015,11:15,
15,MO,DeepHole,3a,1,5/22/2015,9:00,6/11/2015,11:15,
15,MO,DeepHole,3b,1,5/22/2015,9:00,6/11/2015,11:15,
15,WL,DeepHole,1,2,6/11/2015,10:00,6/25/2015,10:30,
15,WL,DeepHole,2,2,6/11/2015,10:00,6/25/2015,10:30,
15,WL,DeepHole,3a,2,6/11/2015,10:00,6/25/2015,10:30,lost top float
15,WL,DeepHole,3b,2,6/11/2015,10:00,6/25/2015,10:30,lost top float
15,EL,DeepHole,1,2,6/11/2015,10:15,6/25/2015,11:00,
15,EL,DeepHole,2,2,6/11/2015,10:15,6/25/2015,11:00,
15,EL,DeepHole,3a,2,6/11/2015,10:15,6/25/2015,11:00,
15,EL,DeepHole,3b,2,6/11/2015,10:15,6/25/2015,11:00,
15,HB,DeepHole,1,2,6/11/2015,10:45,6/25/2015,10:00,
15,HB,DeepHole,2,2,6/11/2015,10:45,6/25/2015,10:00,
15,HB,DeepHole,3a,2,6/11/2015,10:45,6/25/2015,10:00,
15,HB,DeepHole,3b,2,6/11/2015,10:45,6/25/2015,10:00,
15,CR,DeepHole,1,2,6/11/2015,9:00,6/25/2015,11:30,
15,CR,DeepHole,2,2,6/11/2015,9:00,6/25/2015,11:30,
15,CR,DeepHole,3a,2,6/11/2015,9:00,6/25/2015,11:30,
15,CR,DeepHole,3b,2,6/11/2015,9:00,6/25/2015,11:30,
15,MO,DeepHole,1,2,6/11/2015,11:15,6/25/2015,9:00,
15,MO,DeepHole,2,2,6/11/2015,11:15,6/25/2015,9:00,
15,MO,DeepHole,3a,2,6/11/2015,11:15,6/25/2015,9:00,
15,MO,DeepHole,3b,2,6/11/2015,11:15,6/25/2015,9:00,
15,WL,DeepHole,1,3,6/25/2015,10:30,7/9/2015,13:45,
15,WL,DeepHole,2,3,6/25/2015,10:30,7/9/2015,13:45,
15,WL,DeepHole,3a,3,6/25/2015,10:30,,,
15,WL,DeepHole,3b,3,6/25/2015,10:30,,,
15,EL,DeepHole,1,3,6/25/2015,11:00,7/9/2015,15:00,
15,EL,DeepHole,2,3,6/25/2015,11:00,7/9/2015,15:00,
15,EL,DeepHole,3a,3,6/25/2015,11:00,7/9/2015,15:00,
15,EL,DeepHole,3b,3,6/25/2015,11:00,7/9/2015,15:00,
15,HB,DeepHole,1,3,6/25/2015,10:00,7/9/2015,11:45,
15,HB,DeepHole,2,3,6/25/2015,10:00,7/9/2015,11:45,
15,HB,DeepHole,3a,3,6/25/2015,10:00,7/9/2015,11:45,
15,HB,DeepHole,3b,3,6/25/2015,10:00,7/9/2015,11:45,
15,CR,DeepHole,1,3,6/25/2015,11:30,7/9/2015,9:30,
15,CR,DeepHole,2,3,6/25/2015,11:30,7/9/2015,9:30,
15,CR,DeepHole,3a,3,6/25/2015,11:30,7/9/2015,9:30,
15,CR,DeepHole,3b,3,6/25/2015,11:30,7/9/2015,9:30,
15,MO,DeepHole,1,3,6/25/2015,9:00,7/9/2015,11:00,
15,MO,DeepHole,2,3,6/25/2015,9:00,7/9/2015,11:00,
15,MO,DeepHole,3a,3,6/25/2015,9:00,7/9/2015,11:00,
15,MO,DeepHole,3b,3,6/25/2015,9:00,7/9/2015,11:00,
15,WL,DeepHole,1,4,7/9/2015,13:45,7/23/2015,14:00,
15,WL,DeepHole,2,4,7/9/2015,13:45,7/23/2015,14:00,
15,EL,DeepHole,1,4,7/9/2015,15:00,7/23/2015,15:00,
15,EL,DeepHole,2,4,7/9/2015,15:00,7/23/2015,15:00,
15,EL,DeepHole,3a,4,7/9/2015,15:00,7/23/2015,15:00,
15,EL,DeepHole,3b,4,7/9/2015,15:00,7/23/2015,15:00,
15,HB,DeepHole,1,4,7/9/2015,11:45,7/23/2015,12:00,
15,HB,DeepHole,2,4,7/9/2015,11:45,7/23/2015,12:00,
15,HB,DeepHole,3a,4,7/9/2015,11:45,7/23/2015,12:00,
15,HB,DeepHole,3b,4,7/9/2015,11:45,7/23/2015,12:00,
15,CR,DeepHole,1,4,7/9/2015,9:30,7/23/2015,10:00,
15,CR,DeepHole,2,4,7/9/2015,9:30,7/23/2015,10:00,
15,CR,DeepHole,3a,4,7/9/2015,9:30,7/23/2015,10:00,
15,CR,DeepHole,3b,4,7/9/2015,9:30,7/23/2015,10:00,
15,MO,DeepHole,1,4,7/9/2015,11:00,7/23/2015,11:00,
15,MO,DeepHole,2,4,7/9/2015,11:00,7/23/2015,11:00,
15,MO,DeepHole,3a,4,7/9/2015,11:00,7/23/2015,11:00,
15,MO,DeepHole,3b,4,7/9/2015,11:00,7/23/2015,11:00,
15,WL,DeepHole,1,5,7/23/2015,14:00,8/18/2015,10:00,
15,WL,DeepHole,2,5,7/23/2015,14:00,8/18/2015,10:00,
15,EL,DeepHole,1,5,7/23/2015,15:00,8/18/2015,10:15,
15,EL,DeepHole,2,5,7/23/2015,15:00,8/18/2015,10:15,
15,EL,DeepHole,3a,5,7/23/2015,15:00,8/18/2015,10:15,
15,EL,DeepHole,3b,5,7/23/2015,15:00,8/18/2015,10:15,
15,HB,DeepHole,1,5,7/23/2015,12:00,8/18/2015,9:45,
15,HB,DeepHole,2,5,7/23/2015,12:00,8/18/2015,9:45,
15,HB,DeepHole,3a,5,7/23/2015,12:00,8/18/2015,9:45,
15,HB,DeepHole,3b,5,7/23/2015,12:00,8/18/2015,9:45,
15,CR,DeepHole,1,5,7/23/2015,10:00,8/18/2015,11:15,
15,CR,DeepHole,2,5,7/23/2015,10:00,8/18/2015,11:15,
15,CR,DeepHole,3a,5,7/23/2015,10:00,8/18/2015,11:15,
15,CR,DeepHole,3b,5,7/23/2015,10:00,8/18/2015,11:15,
15,MO,DeepHole,1,5,7/23/2015,11:00,8/18/2015,8:45,
15,MO,DeepHole,2,5,7/23/2015,11:00,8/18/2015,8:45,
15,MO,DeepHole,3a,5,7/23/2015,11:00,8/18/2015,8:45,
15,MO,DeepHole,3b,5,7/23/2015,11:00,8/18/2015,8:45,
15,WL,DeepHole,1,6,8/18/2015,10:00,9/10/2015,11:30,
15,WL,DeepHole,2,6,8/18/2015,10:00,9/10/2015,11:30,
15,EL,DeepHole,1,6,8/18/2015,10:15,9/10/2015,12:00,
15,EL,DeepHole,2,6,8/18/2015,10:15,9/10/2015,12:00,
15,EL,DeepHole,3a,6,8/18/2015,10:15,9/10/2015,12:00,
15,EL,DeepHole,3b,6,8/18/2015,10:15,9/10/2015,12:00,
15,HB,DeepHole,1,6,8/18/2015,9:45,9/10/2015,10:50,
15,HB,DeepHole,2,6,8/18/2015,9:45,9/10/2015,10:50,
15,HB,DeepHole,3a,6,8/18/2015,9:45,9/10/2015,10:50,
15,HB,DeepHole,3b,6,8/18/2015,9:45,9/10/2015,10:50,
15,CR,DeepHole,1,6,8/18/2015,11:15,9/10/2015,10:00,
15,CR,DeepHole,2,6,8/18/2015,11:15,9/10/2015,10:00,
15,CR,DeepHole,3a,6,8/18/2015,11:15,9/10/2015,10:00,
15,CR,DeepHole,3b,6,8/18/2015,11:15,9/10/2015,10:00,
15,MO,DeepHole,1,6,8/18/2015,8:45,9/10/2015,10:30,
15,MO,DeepHole,2,6,8/18/2015,8:45,9/10/2015,10:30,
15,MO,DeepHole,3a,6,8/18/2015,8:45,9/10/2015,10:30,
15,MO,DeepHole,3b,6,8/18/2015,8:45,9/10/2015,10:30,
